Year, Population, Births, Deaths, Adulting
20, 10, 0, 0, 0
21, 10.471285480508996, 0, 0, 0
22, 10.964781961431852, 0, 0, 0
23, 11.48153621496883, 0, 0, 0
24, 12.022644346174133, 0, 0, 0
25, 12.589254117941676, 0, 0, 0
26, 13.182567385564077, 0, 0, 0
27, 13.803842646028857, 0, 0, 0
28, 14.454397707459284, 0, 0, 0
29, 15.135612484362092, 0, 0, 0
30, 15.848931924611147, 0, 0, 0
31, 16.59586907437562, 0, 0, 0
32, 17.37800828749377, 0, 0, 0
33, 18.19700858609985, 0, 0, 0
34, 19.05460717963249, 0, 0, 0
35, 19.95262314968882, 0, 0, 0
36, 20.89296130854042, 0, 0, 0
37, 21.877616239495556, 0, 0, 0
38, 22.908676527677763, 0, 0, 0
39, 23.98832919019494, 0, 0, 0
40, 25.118864315095838, 0, 0, 0
41, 26.30267991895386, 0, 0, 0
42, 27.542287033381708, 0, 0, 0
43, 28.84031503126611, 0, 0, 0
44, 30.199517204020214, 0, 0, 0
45, 31.62277660168385, 0, 0, 0
46, 33.11311214825917, 0, 0, 0
47, 34.67368504525323, 0, 0, 0
48, 36.307805477010206, 0, 0, 0
49, 38.018939632056195, 0, 0, 0
50, 39.810717055349805, 0, 0, 0
51, 41.686938347033625, 0, 0, 0
52, 43.65158322401669, 0, 0, 0
53, 45.7088189614876, 0, 0, 0
54, 47.86300923226394, 0, 0, 0
55, 50.118723362727344, 0, 0, 0
56, 52.480746024977385, 0, 0, 0
57, 54.95408738576259, 0, 0, 0
58, 57.54399373371584, 0, 0, 0
59, 60.25595860743593, 0, 0, 0
60, 63.09573444801949, 0, 0, 0
61, 66.06934480075978, 0, 0, 0
62, 69.18309709189384, 0, 0, 0
63, 72.44359600749921, 0, 0, 0
64, 75.8577575029186, 0, 0, 0
65, 79.4328234724284, 0, 0, 0
66, 83.17637711026737, 0, 1, 0
67, 87.09635899560836, 0, 0, 0
68, 91.20108393559129, 0, 0, 0
69, 95.49925860214393, 0, 0, 0
70, 100.00000000000036, 0, 1, 0
71, 104.71285480509033, 0, 0, 0
72, 109.6478196143189, 0, 0, 0
73, 114.81536214968871, 0, 0, 0
74, 120.22644346174175, 0, 0, 0
75, 125.89254117941721, 0, 2, 0
76, 131.82567385564124, 0, 2, 0
77, 138.03842646028906, 0, 0, 0
78, 144.54397707459336, 0, 0, 0
79, 151.35612484362147, 0, 0, 0
80, 158.48931924611205, 0, 0, 0
81, 165.95869074375682, 0, 0, 0
82, 173.78008287493836, 0, 0, 0
83, 181.9700858609992, 0, 0, 0
84, 190.54607179632563, 0, 0, 0
85, 199.52623149688893, 0, 0, 0
86, 208.92961308540498, 0, 0, 0
87, 218.77616239495634, 0, 0, 0
88, 229.08676527677846, 0, 1, 0
89, 239.8832919019503, 0, 0, 0
90, 251.18864315095934, 0, 0, 0
91, 263.0267991895396, 0, 1, 0
92, 275.42287033381814, 0, 0, 0
93, 288.4031503126622, 0, 2, 0
94, 301.99517204020333, 0, 0, 0
95, 316.2277660168397, 0, 0, 0
96, 331.131121482593, 0, 0, 0
97, 346.7368504525337, 0, 0, 0
98, 363.0780547701035, 0, 0, 0
99, 380.1893963205635, 0, 0, 0
100, 398.1071705534997, 0, 0, 0
101, 416.869383470338, 0, 0, 0
102, 436.5158322401687, 0, 0, 0
103, 457.08818961487793, 0, 0, 0
104, 478.6300923226414, 0, 0, 0
105, 501.18723362727553, 0, 0, 0
106, 524.807460249776, 0, 0, 0
107, 549.5408738576282, 0, 0, 0
108, 575.4399373371608, 0, 0, 0
109, 602.5595860743618, 0, 0, 0
110, 630.9573444801975, 0, 0, 0
111, 660.6934480076005, 0, 0, 0
112, 691.8309709189413, 0, 0, 0
113, 724.4359600749951, 0, 0, 0
114, 758.5775750291891, 0, 0, 0
115, 794.3282347242872, 0, 0, 0
116, 831.7637711026771, 0, 0, 0
117, 870.963589956087, 0, 0, 0
118, 912.0108393559166, 0, 0, 0
119, 954.9925860214431, 0, 0, 0
120, 1000.0000000000076, 0, 0, 0
